Ac2O3,Actinium(III) oxide,12002-61-8
AgBF4,Silver tetrafluoroborate,14104-20-2
AgBr,silver bromide,7785-23-1
AgBrO3,silver bromate,7783-89-3
AgCl,silver chloride,7783-90-6
AgCl3Cu2,dicopper silver trichloride,69569-03-5
AgClO3,silver chlorate,7783-92-8
AgClO4,silver perchlorate,7783-93-9
AgCN,silver cyanide,506-64-9
AgF,silver fluoride,7775-41-9
AgF2,silver(II) fluoride,7775-41-9
AgI,silver iodide,7783-96-2
AgIO3,silver iodate,7783-97-3
AgMnO4,silver permanganate,7783-98-4
AgN3,silver azide,13863-88-2
AgNO3,silver nitrate,7761-88-8
Ag2O,silver oxide,1301-96-8
AgO,silver monoxide,1301-96-8
AgONC,silver fulminate,5610-59-3
AgPF6,silver hexafluorophosphate,26042-63-7
AgSNC,silver thiocyanate,1701-93-5
Ag2C2,silver acetylide,7659-31-6
Ag2CO3,silver(I) carbonate,534-16-7
Ag2C2O4,silver oxalate,533-51-7
Ag2Cl2,silver(II) dichloride,75763-82-5
Ag2CrO4,silver chromate,7784-01-2
Ag2Cr2O7,silver dichromate,7784-02-3
Ag2F,silver subfluoride,1302-01-8
Ag2MoO4,silver molybdate,13765-74-7
Ag2O,silver(I) oxide,20667-12-3
Ag2S,silver sulfide,21548-73-2
Ag2SO4,silver sulfate,10294-26-5
Ag2Se,silver selenide,1302-09-6
Ag2SeO3,silver selenite,7784-05-6
Ag2SeO4,silver selenate,7784-07-8
Ag2Te,silver(I) telluride,12002-99-2
Ag3Br2,silver dibromide,11078-32-3
Ag3Br3,silver tribromide,11078-33-4
Ag3Cl3,silver(III) trichloride,12444-96-1
Ag3I3,silver(III) triiodide,37375-12-5
Ag3PO4,silver phosphate,7784-09-0
AlBO,aluminium boron oxide,12041-48-4
AlBO2,aluminium borate,61279-70-7
AlBr,aluminium monobromide,22359-97-3
AlBr3,aluminium tribromide,7727-15-3
AlCl,aluminium monochloride,13595-81-8
AlClF,aluminium chloride fluoride,22395-91-1
AlClF,aluminium chloride fluoride,22395-91-1
AlClF2,aluminium chloride fluoride,13814-65-8
AlClO,aluminium chloride oxide,13596-11-7
AlCl2H,Dichloroalumane,16603-84-2
AlCl3,aluminium chloride,16603-84-2
AlCl2F,aluminium chloride fluoride,13497-96-6
AlCl3,aluminium trichloride,7446-70-0
AlCl4Cs,aluminium caesium tetrachloride,17992-03-9
AlCl4K,potassium tetrachloroaluminate,13821-13-1
AlCl4Na,sodium tetrachloroaluminate,7784-16-9
AlCl4Rb,aluminium rubidium tetrachloride,17992-02-8
AlCl6K3,potassium hexachloroaluminate,13782-08-6
AlCl6Na3,sodium hexachloroaluminate,60172-46-5
AlF,aluminium monofluoride,13595-82-9
AlFO,aluminium monofluoride monoxide,13596-12-8
AlF2,aluminium difluoride,13569-23-8
AlF2O,aluminium difluoride oxide,38344-66-0
AlF3,aluminium trifluoride,7784-18-1
AlF4K,potassium tetrafluoroaluminate,14484-69-6
AlF4Li,lithium tetrafluoroaluminate,15138-76-8
AlF6K3,potassium hexafluoraluminate,13775-52-5
AlF6Li3,lithium hexafluoroaluminate,13821-20-0
AlF6Na3,cryolite,15096-52-3
AlGaInP,aluminium-gallium-indium phosphide,
Al(OH)3,aluminium hydroxide,21645-51-2
AlI,aluminium monoiodide,29977-41-1
AlI3,aluminium triiodide,7784-23-8
AlLiO2,lithium aluminate,12003-67-7
AlN,aluminium nitride,24304-00-5
Al(NO2)3,aluminium nitrite,
Al(NO3)3,aluminium nitrate,13473-90-0
AlNaO2,sodium aluminate,1302-42-7
AlO,aluminium monoxide,14457-64-8
AlOSi,aluminium silicon monoxide,37361-47-0
AlO2,Aluminium(IV) oxide,11092-32-3
